,all_dune_tags,all_clark_tags
NN,161949,42418.0
CD,3801,2652.0
DT,91077,25432.0
VBZ,12189,2299.0
IN,94122,29994.0
VBG,15426,4823.0
RBS,395,144.0
JJ,60621,20745.0
NNS,46798,12945.0
VBP,21224,3640.0
TO,18390,5656.0
VB,35129,10377.0
PRP$,27402,4454.0
RB,42199,19472.0
PRP,62533,13812.0
VBN,22819,7954.0
CC,21318,7698.0
VBD,70028,18050.0
WRB,6042,1416.0
PDT,818,524.0
WDT,4045,1452.0
RP,3757,1225.0
MD,12676,4267.0
JJS,1232,712.0
WP,4986,961.0
EX,2236,1057.0
JJR,2088,915.0
RBR,1456,589.0
NNP,30,26.0
WP$,174,39.0
FW,82,18.0
UH,174,25.0
POS,3,1.0
NNPS,7,2.0
